© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
IL-2 Signaling	4.12E-01	4.29E-02	NaN	FOS,AKT2,JAK3
CTLA4 Signaling in Cytotoxic T Lymphocytes	4.11E-01	4.04E-02	NaN	FYN,AKT2,HLA-C,LCP2
Serotonin Receptor Signaling	3.98E-01	4.65E-02	NaN	GCH1,SMOX
Basal Cell Carcinoma Signaling	3.94E-01	4.17E-02	NaN	TP53,CTNNB1,PTCH2
Extrinsic Prothrombin Activation Pathway	3.93E-01	6.25E-02	NaN	F3
Chondroitin Sulfate Degradation (Metazoa)	3.93E-01	6.25E-02	NaN	ARSB
Vitamin-C Transport	3.93E-01	6.25E-02	NaN	SLC2A3
Cellular Effects of Sildenafil (Viagra)	3.91E-01	3.82E-02	NaN	PDE4C,PDE4A,PRKACA,KCNQ3,PDE4B
Stearate Biosynthesis I (Animals)	3.86E-01	4.55E-02	NaN	ACSL5,ACSL1
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	3.84E-01	4.11E-02	NaN	GNAI2,PRKACA,ADRB2
Dopamine-DARPP32 Feedback in cAMP Signaling	3.72E-01	3.66E-02	-1.342	GNAI2,CSNK1G2,CREM,CREBBP,PRKACA,PRKCB
Dermatan Sulfate Biosynthesis (Late Stages)	3.64E-01	4.35E-02	NaN	CHST7,DSE
Endothelin-1 Signaling	3.63E-01	3.57E-02	-0.816	GNAI2,PLD4,PNPLA8,FOS,ECE1,PTGER2,PRKCB
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	3.51E-01	3.9E-02	NaN	CSNK1G2,CTNNB1,NCOA3
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.51E-01	3.9E-02	NaN	SOCS3,STAT3,JAK3
Dopamine Receptor Signaling	3.51E-01	3.9E-02	NaN	GCH1,SMOX,PRKACA
Gap Junction Signaling	3.37E-01	3.48E-02	NaN	GNAI2,AKT2,CSNK1G2,TUBA4A,PRKACA,CTNNB1,PRKCB
CXCR4 Signaling	3.33E-01	3.51E-02	-2.236	GNAI2,FOS,AKT2,RHOA,CRK,PRKCB
Primary Immunodeficiency Signaling	3.22E-01	4E-02	NaN	ADA,JAK3
Granzyme A Signaling	3.21E-01	5E-02	NaN	CREBBP
Calcium Signaling	3.13E-01	3.4E-02	-0.816	ATP2B1,MEF2D,CREBBP,PRKACA,HDAC10,CACNB2,NFATC1
Amyloid Processing	3.12E-01	3.92E-02	NaN	AKT2,PRKACA
Oxidative Ethanol Degradation III	3.06E-01	4.76E-02	NaN	ACSL1
Neurotrophin/TRK Signaling	3.05E-01	3.61E-02	NaN	FOS,CREBBP,MAP2K3
Neuropathic Pain Signaling In Dorsal Horn Neurons	3E-01	3.48E-02	-1.000	FOS,PRKACA,KCNQ3,PRKCB
Thrombin Signaling	2.96E-01	3.33E-02	-2.646	GNAI2,AKT2,RHOA,ARHGEF1,NFKB2,NFKB1,PRKCB
Transcriptional Regulatory Network in Embryonic Stem Cells	2.87E-01	3.7E-02	NaN	STAT3,SKIL
Putrescine Degradation III	2.8E-01	4.35E-02	NaN	SMOX
Methionine Degradation I (to Homocysteine)	2.8E-01	4.35E-02	NaN	MAT2A
Role of CHK Proteins in Cell Cycle Checkpoint Control	2.63E-01	3.51E-02	NaN	TP53,CDKN1A
CREB Signaling in Neurons	2.63E-01	3.21E-02	-2.236	GNAI2,AKT2,POLR2A,CREBBP,PRKACA,CACNB2,PRKCB
Gαi Signaling	2.56E-01	3.25E-02	0.000	GNAI2,PRKACA,STAT3,HCAR2
Bupropion Degradation	2.56E-01	4E-02	NaN	CYP1B1
Tryptophan Degradation X (Mammalian, via Tryptamine)	2.56E-01	4E-02	NaN	SMOX
Ethanol Degradation IV	2.56E-01	4E-02	NaN	ACSL1
Cysteine Biosynthesis III (mammalia)	2.56E-01	4E-02	NaN	MAT2A
HIF1α Signaling	2.51E-01	3.23E-02	NaN	TP53,AKT2,CREBBP,SLC2A3
Apelin Liver Signaling Pathway	2.45E-01	3.85E-02	NaN	GSK3A
α-Adrenergic Signaling	2.42E-01	3.23E-02	NaN	GNAI2,PRKACA,PRKCB
SPINK1 Pancreatic Cancer Pathway	2.41E-01	3.33E-02	NaN	TGFBR2,SMAD3
VEGF Family Ligand-Receptor Interactions	2.37E-01	3.19E-02	NaN	FOS,AKT2,PRKCB
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	2.34E-01	3.7E-02	NaN	PLD4
Phospholipases	2.28E-01	3.23E-02	NaN	PLD4,PNPLA8
autophagy	2.28E-01	3.23E-02	NaN	RB1CC1,SQSTM1
Acetone Degradation I (to Methylglyoxal)	2.06E-01	3.33E-02	NaN	CYP1B1
Natural Killer Cell Signaling	-0E00	3.12E-02	NaN	FYN,AKT2,LCP2,PRKCB
Synaptic Long Term Potentiation	-0E00	2.38E-02	NaN	CREBBP,PRKACA,PRKCB
Amyotrophic Lateral Sclerosis Signaling	-0E00	2.7E-02	NaN	TP53,BCL2L1,IGF1
Synaptic Long Term Depression	-0E00	2.78E-02	-1.342	GNAI2,PNPLA8,IGF1,CACNB2,PRKCB
Mitochondrial Dysfunction	-0E00	1.75E-02	NaN	VPS9D1,NDUFB11,UQCRB
FcγRIIB Signaling in B Lymphocytes	-0E00	2.35E-02	NaN	CACNB2,DOK1
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	3.12E-02	NaN	HLA-C
CCR3 Signaling in Eosinophils	-0E00	2.94E-02	NaN	GNAI2,CFL1,RHOA,PRKCB
Mechanisms of Viral Exit from Host Cells	-0E00	2.44E-02	NaN	PRKCB
CNTF Signaling	-0E00	1.45E-02	NaN	STAT3
Agrin Interactions at Neuromuscular Junction	-0E00	1.33E-02	NaN	LAMA2
CDK5 Signaling	-0E00	1.9E-02	NaN	FOSB,PRKACA
Mitotic Roles of Polo-Like Kinase	-0E00	1.52E-02	NaN	STAG2
Melanocyte Development and Pigmentation Signaling	-0E00	2.91E-02	NaN	CREBBP,PRKACA,CRK
Antiproliferative Role of Somatostatin Receptor 2	-0E00	1.23E-02	NaN	CDKN1A
PAK Signaling	-0E00	1.87E-02	NaN	CFL1,PDGFA
MSP-RON Signaling Pathway	-0E00	2.78E-02	NaN	IL3RA,CSF1
Cell Cycle Control of Chromosomal Replication	-0E00	1.79E-02	NaN	CDK4
Paxillin Signaling	-0E00	2.52E-02	NaN	CRK,VCL,ITGAX
eNOS Signaling	-0E00	2.33E-02	-1.000	AKT2,HSPA1A/HSPA1B,PRKACA,PRKCB
nNOS Signaling in Neurons	-0E00	2.13E-02	NaN	PRKCB
nNOS Signaling in Skeletal Muscle Cells	-0E00	2.44E-02	NaN	CACNB2
ErbB4 Signaling	-0E00	1.28E-02	NaN	PRKCB
GDNF Family Ligand-Receptor Interactions	-0E00	2.44E-02	NaN	FOS,DOK1
Heparan Sulfate Biosynthesis	-0E00	2.41E-02	NaN	CHST7,XYLT1
Nicotine Degradation III	-0E00	1.79E-02	NaN	CYP1B1
Dopamine Degradation	-0E00	2.7E-02	NaN	SMOX
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	1.32E-02	NaN	CHST7
Pyrimidine Ribonucleotides De Novo Biosynthesis	-0E00	2.17E-02	NaN	HNRNPA1
Melatonin Degradation I	-0E00	1.54E-02	NaN	CYP1B1
Triacylglycerol Degradation	-0E00	1.85E-02	NaN	PNPLA2
Estrogen Biosynthesis	-0E00	2.44E-02	NaN	CYP1B1
Glutathione-mediated Detoxification	-0E00	3.12E-02	NaN	ANPEP
Nicotine Degradation II	-0E00	1.54E-02	NaN	CYP1B1
Serotonin Degradation	-0E00	1.3E-02	NaN	SMOX
Retinol Biosynthesis	-0E00	2.38E-02	NaN	PNPLA2
Pyrimidine Ribonucleotides Interconversion	-0E00	2.27E-02	NaN	HNRNPA1
Superpathway of Melatonin Degradation	-0E00	2.86E-02	NaN	SMOX,CYP1B1
Noradrenaline and Adrenaline Degradation	-0E00	2.5E-02	NaN	SMOX
Ethanol Degradation II	-0E00	2.7E-02	NaN	ACSL1
Superpathway of Methionine Degradation	-0E00	2.63E-02	NaN	MAT2A
Role of p14/p19ARF in Tumor Suppression	-0E00	2.33E-02	NaN	TP53
UVA-Induced MAPK Signaling	-0E00	2.7E-02	NaN	TP53,FOS,BCL2L1
Oxidative Phosphorylation	-0E00	2.75E-02	NaN	VPS9D1,NDUFB11,UQCRB
Nitric Oxide Signaling in the Cardiovascular System	-0E00	2.65E-02	NaN	AKT2,PRKACA,PRKCB
GABA Receptor Signaling	-0E00	3.16E-02	NaN	CACNB2,KCNQ3,UBC
Phototransduction Pathway	-0E00	1.89E-02	NaN	PRKACA
NER Pathway	-0E00	1.94E-02	NaN	POLR2A,XPC
Apelin Adipocyte Signaling Pathway	-0E00	2.5E-02	NaN	GNAI2,PRKACA
Apelin Cardiomyocyte Signaling Pathway	-0E00	2.65E-02	NaN	GNAI2,AKT2,PRKCB
Eicosanoid Signaling	-0E00	2.99E-02	NaN	PNPLA8,PTGER2
