© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
PDGF Signaling	6E-01	1.15E-01	-2.714	PIK3R3,RAP2B,RAP2A,JUN,FGFR1,PIK3R1,SOS2,ABL1,PIK3R6,MRAS,PDGFC
Atherosclerosis Signaling	5.87E-01	1.1E-01	NaN	PLA2G16,APOE,MSR1,PLA2G4C,PCYOX1,PDGFC,TNFRSF12A,IL18,ALOX15B,CCL2,APOC1,MMP9,PLA2G12A,RBP4
Cell Cycle: G1/S Checkpoint Regulation	5.87E-01	1.19E-01	0.000	FOXO1,PAK1IP1,HDAC1,HDAC7,CDK6,ABL1,MDM2,CCND1
Cholecystokinin/Gastrin-mediated Signaling	5.83E-01	1.12E-01	-2.887	RAP2B,RAP2A,IL18,JUN,RHOB,RND3,RHOC,SOS2,MRAS,PLCB3,PRKCH,MEF2C
Erythropoietin Signaling	5.82E-01	1.15E-01	NaN	PIK3R3,RAP2B,RAP2A,JUN,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,PRKCH
Pentose Phosphate Pathway	5.8E-01	1.82E-01	NaN	PGD,RPE
Glucocorticoid Biosynthesis	5.8E-01	1.82E-01	NaN	EBP,HSD3B7
UDP-N-acetyl-D-galactosamine Biosynthesis II	5.8E-01	1.82E-01	NaN	GNPDA1,GALE
Graft-versus-Host Disease Signaling	5.75E-01	1.25E-01	NaN	IL18,HLA-DOA,CD80,HLA-DMA,HLA-DMB,FCER1G
Cardiac Hypertrophy Signaling	5.73E-01	1.04E-01	-3.128	PRKACB,RAP2B,ADRA2B,RAP2A,MYL6,RHOC,FGFR1,PIK3R1,GNG2,MYL6B,MAP3K4,MAPK13,EIF4E,PIK3R3,CALM1 (includes others),JUN,RND3,RHOB,PIK3R6,MRAS,PLCB3,MEF2C,GNAL,GNG12,HSPB1
Adrenomedullin signaling pathway	5.69E-01	1.05E-01	-2.837	RAP2B,ADM,CRCP,PPARG,PRKACB,RAP2A,BAD,PIK3R1,FGFR1,SOS2,MMP2,HIF1A,MAPK13,ARNT,PIK3R3,CALM1 (includes others),IL18,PIK3R6,MRAS,PLCB3,CFH
Antioxidant Action of Vitamin C	5.65E-01	1.11E-01	1.134	PLA2G16,SLC2A5,HMOX1,PLD3,SLC2A8,SLC2A1,PLA2G4C,PLCB3,TXN,MAPK13,GSTO1,PLA2G12A
Role of MAPK Signaling in the Pathogenesis of Influenza	5.64E-01	1.15E-01	NaN	PLA2G16,RAP2B,RAP2A,CCL2,PLA2G4C,MRAS,CCL5,MAPK13,PLA2G12A
ErbB4 Signaling	5.64E-01	1.15E-01	-3.000	PIK3R3,RAP2B,RAP2A,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,PRKCH
Autoimmune Thyroid Disease Signaling	5.5E-01	1.22E-01	NaN	HLA-DOA,CD80,HLA-DMA,IL10,HLA-DMB,FCER1G
Nur77 Signaling in T Lymphocytes	5.47E-01	1.19E-01	NaN	CALM1 (includes others),HLA-DOA,CD80,HLA-DMA,HLA-DMB,HDAC1,FCER1G
Prolactin Signaling	5.45E-01	1.12E-01	-3.162	PIK3R3,RAP2B,RAP2A,JUN,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,PRKCH
CNTF Signaling	5.44E-01	1.16E-01	-2.121	RAP2B,PIK3R3,RAP2A,FGFR1,PIK3R1,MRAS,PIK3R6,RPS6KA2
GM-CSF Signaling	5.44E-01	1.14E-01	-2.333	PIK3R3,RAP2B,RAP2A,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,CCND1
Oncostatin M Signaling	5.32E-01	1.25E-01	-2.000	RAP2B,RAP2A,EPAS1,MRAS,PLAU
Oxidative Ethanol Degradation III	5.3E-01	1.43E-01	NaN	ALDH3A2,ALDH9A1,ALDH7A1
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	5.27E-01	1.11E-01	NaN	IL18,HLA-DOA,SPP1,TLR5,CD80,HLA-DMA,IL10,HLA-DMB,TLR6,FCER1G
BER pathway	5.27E-01	1.67E-01	NaN	PCNA,APEX1
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	5.16E-01	1.03E-01	-0.894	PPARA,APOE,RHOC,PIK3R1,FGFR1,RAC1,IFNGR1,MAP3K4,MAPK13,PCYOX1,PPP1R14B,PIK3R3,JUN,PPP1R10,RHOB,RND3,PIK3R6,APOC1,PRKCH,RBP4
Regulation of eIF4 and p70S6K Signaling	5.13E-01	1.04E-01	-3.000	RAP2B,ITGB1,RAP2A,PIK3R1,FGFR1,SOS2,MAPK13,EIF4E,EIF4EBP1,PIK3R3,EIF4EBP3,EIF4A3,RPS27L,PIK3R6,MRAS,AGO1,EIF1AX
Sertoli Cell-Sertoli Cell Junction Signaling	5.1E-01	1.03E-01	NaN	RAP2B,ITGB1,PRKACB,RAP2A,TUBB4B,MYO7A,TUBB2A,RAC1,MAP3K4,MAPK13,CLDN7,TUBB,JUN,KEAP1,MRAS,TUBA1C,JUP,SPTAN1,A2M
Antiproliferative Role of Somatostatin Receptor 2	5.07E-01	1.11E-01	-2.828	PIK3R3,RAP2B,RAP2A,FGFR1,PIK3R1,GNG2,PIK3R6,MRAS,GNG12
Mechanisms of Viral Exit from Host Cells	5.06E-01	1.22E-01	NaN	CHMP2B,VPS28,VPS36,PRKCH,CHMP3
ERK5 Signaling	5.04E-01	1.13E-01	-1.414	RAP2B,RAP2A,YWHAH,BAD,FOXO3,MRAS,MEF2C,RPS6KA2
Retinoate Biosynthesis II	5E-01	2.5E-01	NaN	RBP1
Pentose Phosphate Pathway (Oxidative Branch)	5E-01	2.5E-01	NaN	PGD
PRPP Biosynthesis I	5E-01	2.5E-01	NaN	PRPS1
Phenylethylamine Degradation I	5E-01	2.5E-01	NaN	ALDH3A2
Ascorbate Recycling (Cytosolic)	5E-01	2.5E-01	NaN	GSTO1
Glutathione Redox Reactions II	5E-01	2.5E-01	NaN	TXNDC12
Melatonin Degradation II	5E-01	2.5E-01	NaN	MAOA
N-acetylglucosamine Degradation II	5E-01	2.5E-01	NaN	GNPDA1
Fatty Acid α-oxidation	4.93E-01	1.36E-01	NaN	ALDH3A2,ALDH9A1,ALDH7A1
Apelin Cardiomyocyte Signaling Pathway	4.87E-01	1.06E-01	-2.530	PIK3R3,SLC9A6,MYL6,FGFR1,PIK3R1,PIK3R6,PLCB3,MYL6B,PRKCH,HIF1A,MAPK13,ARNT
Phospholipases	4.83E-01	1.13E-01	-1.134	PLA2G16,HMOX1,PLD3,PLA2G4C,PLCB3,PLA1A,PLA2G12A
Assembly of RNA Polymerase III Complex	4.79E-01	1.54E-01	NaN	GTF3C1,GTF3C3
NGF Signaling	4.79E-01	1.05E-01	-2.496	RAP2B,RAP2A,PIK3R1,FGFR1,SOS2,RAC1,SMPD1,MAP3K4,PIK3R3,SMPD4,MRAS,PIK3R6,RPS6KA2
Fatty Acid Activation	4.79E-01	1.54E-01	NaN	ACSL3,SLC27A1
Choline Biosynthesis III	4.79E-01	1.54E-01	NaN	HMOX1,PLD3
Cholesterol Biosynthesis I	4.79E-01	1.54E-01	NaN	EBP,MSMO1
NAD Phosphorylation and Dephosphorylation	4.79E-01	1.54E-01	NaN	ACP2,ACP5
Mevalonate Pathway I	4.79E-01	1.54E-01	NaN	PMVK,IDI1
Bile Acid Biosynthesis, Neutral Pathway	4.79E-01	1.54E-01	NaN	CYP27A1,HSD3B7
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	4.79E-01	1.54E-01	NaN	EBP,MSMO1
Cholesterol Biosynthesis III (via Desmosterol)	4.79E-01	1.54E-01	NaN	EBP,MSMO1
Neuregulin Signaling	4.78E-01	1.08E-01	-3.000	PIK3R3,ITGB1,RAP2B,RAP2A,BAD,PIK3R1,SOS2,MRAS,PRKCH,ERRFI1
α-Adrenergic Signaling	4.78E-01	1.08E-01	-2.646	RAP2B,PRKACB,CALM1 (includes others),RAP2A,PHKB,GNG2,MRAS,PYGL,PRKCH,GNG12
RhoGDI Signaling	4.7E-01	1.02E-01	2.840	ITGB1,ARHGEF12,MYL6,ARPC5L,RHOC,GNG2,WASL,RAC1,RDX,MYL6B,RND3,RHOB,MRAS,ARHGAP35,ARHGAP12,PIP4K2C,GNAL,GNG12
Cdc42 Signaling	4.65E-01	1.02E-01	-2.530	ITGB1,EXOC1,HLA-DOA,MYL6,ARPC5L,WASL,MYL6B,MAPK13,IQGAP1,HLA-DQB2,JUN,HLA-DMA,BAIAP2,HLA-DMB,FCER1G,HLA-DQA2,HLA-DPB1
Regulation of Cellular Mechanics by Calpain Protease	4.63E-01	1.11E-01	-1.633	ITGB1,RAP2B,RAP2A,MRAS,CDK6,CCND1,CDK1
MIF Regulation of Innate Immunity	4.57E-01	1.16E-01	-0.447	LY96,JUN,PLA2G4C,CD14,PLA2G12A
Angiopoietin Signaling	4.56E-01	1.07E-01	-2.236	PIK3R3,RAP2B,RAP2A,FOXO1,BAD,FGFR1,PIK3R1,PIK3R6,MRAS
Relaxin Signaling	4.46E-01	1.01E-01	-2.333	PRKACB,FGFR1,PIK3R1,GNG2,PIK3R3,PDE8A,JUN,GDE1,PIK3R6,MRAS,APEX1,GNG12,GNAL,MMP9,PDE6B,PDE6D
Small Cell Lung Cancer Signaling	4.4E-01	1.06E-01	-1.633	PIK3R3,FHIT,FGFR1,PIK3R1,ABL1,PIK3R6,CKS1B,CDK6,CCND1
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	4.39E-01	9.87E-02	NaN	ITGB1,SPP1,BAD,IL10,MMP14,PIK3R1,FGFR1,ACP5,FZD1,TNFRSF11A,GSN,TCF3,CSF1R,PIK3R3,IL1R2,CALM1 (includes others),IL18,JUN,FOXO1,PIK3R6,NFATC2,IL1RAP,WNT5A
Triacylglycerol Degradation	4.39E-01	1.11E-01	0.816	ABHD6,PPME1,MGLL,AARS,PLA1A,PNPLA4
DNA Double-Strand Break Repair by Non-Homologous End Joining	4.37E-01	1.43E-01	NaN	RAD50,XRCC4
Agrin Interactions at Neuromuscular Junction	4.33E-01	1.07E-01	-1.890	ITGB1,RAP2B,RAP2A,JUN,LAMA2,MRAS,ITGA6,RAC1
Telomerase Signaling	4.32E-01	1.03E-01	-1.897	PIK3R3,RAP2B,RAP2A,FGFR1,PIK3R1,SOS2,HDAC1,HDAC7,ABL1,PIK3R6,MRAS,IL2RA
DNA Methylation and Transcriptional Repression Signaling	4.31E-01	1.18E-01	NaN	SAP18,HIST1H4C,HDAC1,RBBP7
Retinoate Biosynthesis I	4.31E-01	1.18E-01	0.000	DHRS3,RDH11,RDH10,RBP1
Tec Kinase Signaling	4.31E-01	1E-01	-3.207	ITGB1,TNFRSF21,RHOC,GTF2I,PIK3R1,FGFR1,GNG2,PIK3R3,RND3,RHOB,VAV3,PIK3R6,MRAS,FCER1G,PRKCH,GNAL,GNG12
TCA Cycle II (Eukaryotic)	4.29E-01	1.25E-01	NaN	SUCLG1,ACO1,MDH1
PXR/RXR Activation	4.26E-01	1.08E-01	NaN	PRKACB,PPARA,SCD,PCK2,FOXO1,ALDH3A2,FOXO3
Allograft Rejection Signaling	4.25E-01	1.05E-01	NaN	HLA-DOA,HLA-DQB2,CD80,HLA-DMA,IL10,HLA-DMB,FCER1G,HLA-DQA2,HLA-DPB1
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	4.23E-01	2E-01	NaN	MTHFD1
Tetrapyrrole Biosynthesis II	4.23E-01	2E-01	NaN	ALAD
Trans, trans-farnesyl Diphosphate Biosynthesis	4.23E-01	2E-01	NaN	IDI1
Tyrosine Degradation I	4.23E-01	2E-01	NaN	FAH
Glutamate Degradation III (via 4-aminobutyrate)	4.23E-01	2E-01	NaN	SUCLG2
Heparan Sulfate Biosynthesis (Late Stages)	4.17E-01	1.05E-01	-1.414	EXT2,PPME1,SULT1A1,HS2ST1,HS3ST1,AARS,CHST13,PLA1A
Neuroinflammation Signaling Pathway	4.13E-01	9.65E-02	-2.502	HLA-DOA,PIK3R1,SLC1A3,CCL5,FZD1,MAPK13,HMGB1,HMOX1,JUN,CCL2,HLA-DMA,HLA-DMB,PLA2G12A,IL10,TYROBP,FGFR1,PLA2G4C,BACE1,IFNGR1,CSF1R,PIK3R3,IL18,TLR5,CD80,TREM2,S100B,TLR6,PIK3R6,NFATC2,MMP9
Mitotic Roles of Polo-Like Kinase	4.09E-01	1.06E-01	-2.646	PTTG1,PLK2,ANAPC10,CDC23,ANAPC11,CDK1,CDC27
Coagulation System	4.06E-01	1.14E-01	0.000	PROS1,PLAU,THBD,A2M
MIF-mediated Glucocorticoid Regulation	4.06E-01	1.14E-01	0.000	LY96,PLA2G4C,CD14,PLA2G12A
Ethanol Degradation IV	4E-01	1.2E-01	NaN	ALDH3A2,ALDH9A1,ALDH7A1
Gα12/13 Signaling	3.98E-01	9.93E-02	-3.742	RAP2B,RAP2A,MYL6,FGFR1,PIK3R1,MYL6B,PIK3R3,LPAR6,JUN,VAV3,LPAR5,PIK3R6,MRAS,MEF2C
Telomere Extension by Telomerase	3.98E-01	1.33E-01	NaN	PINX1,RAD50
NAD biosynthesis II (from tryptophan)	3.98E-01	1.33E-01	NaN	ABL1,QPRT
VDR/RXR Activation	3.86E-01	1.03E-01	NaN	SPP1,FOXO1,CEBPA,CD14,PRKCH,HES1,CCL5,THBD
IL-17A Signaling in Airway Cells	3.86E-01	1.03E-01	-1.633	PIK3R3,CXCL3,FGFR1,PIK3R1,PIK3R6,CCL20,CXCL1,MAPK13
Endothelin-1 Signaling	3.84E-01	9.69E-02	-2.982	RAP2B,PLA2G16,RAP2A,PLD3,PIK3R1,FGFR1,PTGS1,PLA2G4C,MAPK13,PIK3R3,HMOX1,JUN,CASP2,PIK3R6,MRAS,PLCB3,PRKCH,GNAL,PLA2G12A
Chondroitin Sulfate Biosynthesis	3.83E-01	1.05E-01	-1.633	B4GALT7,XYLT2,SULT1A1,HS2ST1,HS3ST1,CHST13
Apelin Pancreas Signaling Pathway	3.83E-01	1.05E-01	-1.633	PIK3R3,PRKACB,DDIT3,FGFR1,PIK3R1,PIK3R6
JAK/Stat Signaling	3.81E-01	1.01E-01	-3.000	PIK3R3,RAP2B,RAP2A,JUN,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS
EGF Signaling	3.77E-01	1.03E-01	-1.890	PIK3R3,JUN,FGFR1,PIK3R1,SOS2,PIK3R6,MAPK13
NAD Salvage Pathway II	3.74E-01	1.15E-01	NaN	NT5C3B,ACP2,ACP5
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	3.74E-01	1.15E-01	NaN	AGPAT5,PTPMT1,CDS2
Gluconeogenesis I	3.74E-01	1.15E-01	NaN	ENO2,ME1,MDH1
Amyotrophic Lateral Sclerosis Signaling	3.73E-01	9.91E-02	-0.302	PIK3R3,FGFR1,PIK3R1,GPX1,PIK3R6,RAC1,VEGFB,RAB5B,SOD1,PDGFC,SSR4
NF-κB Signaling	3.67E-01	9.63E-02	-2.357	RAP2B,PRKACB,SIGIRR,RAP2A,PIK3R1,FGFR1,HDAC1,TNFRSF11A,IL1R2,PIK3R3,IL18,TLR5,CARD11,UBE2V1,TLR6,PIK3R6,MRAS,FCER1G
Extrinsic Prothrombin Activation Pathway	3.65E-01	1.25E-01	NaN	PROS1,THBD
Mismatch Repair in Eukaryotes	3.65E-01	1.25E-01	NaN	PCNA,RPA1
Chondroitin Sulfate Degradation (Metazoa)	3.65E-01	1.25E-01	NaN	HEXB,HEXA
Glutaryl-CoA Degradation	3.65E-01	1.25E-01	NaN	HSD17B4,HADH
Pyruvate Fermentation to Lactate	3.63E-01	1.67E-01	NaN	LDHB
Zymosterol Biosynthesis	3.63E-01	1.67E-01	NaN	MSMO1
Rapoport-Luebering Glycolytic Shunt	3.63E-01	1.67E-01	NaN	TIGAR
Ethanol Degradation II	3.62E-01	1.08E-01	-1.000	ADH5,ALDH3A2,ALDH9A1,ALDH7A1
Role of BRCA1 in DNA Damage Response	3.57E-01	1E-01	NaN	TOPBP1,SMARCA2,SMARCE1,BRCA2,RPA1,BRCC3,HLTF,RAD50
GP6 Signaling Pathway	3.57E-01	9.7E-02	-3.606	COL8A2,APBB1IP,PIK3R1,FGFR1,LAMA2,RAC1,COL4A3BP,LAMB2,PIK3R3,CALM1 (includes others),FCER1G,PIK3R6,PRKCH
Thrombin Signaling	3.56E-01	9.52E-02	-2.324	RAP2B,RAP2A,CAMK1,ARHGEF12,MYL6,RHOC,PIK3R1,FGFR1,GNG2,MYL6B,MAPK13,PIK3R3,RHOB,RND3,PIK3R6,MRAS,PLCB3,PRKCH,GNAL,GNG12
OX40 Signaling Pathway	3.54E-01	9.89E-02	NaN	HLA-DOA,JUN,HLA-DQB2,HLA-DMA,CD4,HLA-DMB,FCER1G,HLA-DQA2,HLA-DPB1
Dermatan Sulfate Biosynthesis	3.5E-01	1.02E-01	-1.633	B4GALT7,XYLT2,SULT1A1,HS2ST1,HS3ST1,CHST13
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	3.49E-01	1.11E-01	NaN	PI4K2A,PLCB3,PIP4K2C
IL-1 Signaling	3.41E-01	9.78E-02	0.000	PRKACB,JUN,TOLLIP,GNG2,MRAS,MAPK13,IL1RAP,GNG12,GNAL
Ephrin Receptor Signaling	3.41E-01	9.5E-02	-2.496	RAP2B,ITGB1,RAP2A,ITSN1,ARPC5L,EPHB2,GNG2,WASL,SOS2,RAC1,ABL1,VEGFB,PDGFC,EFNB1,MRAS,GNAL,GNG12
3-phosphoinositide Biosynthesis	3.39E-01	9.45E-02	-3.441	DUSP28,PIK3R1,FGFR1,NUDT14,ACP5,NUDT2,PPP4R1,PPP1R14B,PIK3R3,NUDT5,CD80,PI4K2A,PIK3R6,DUSP23,DUSP12,PIP4K2C,PTPN22,NUDT1,DUSP16
Ephrin A Signaling	3.34E-01	1E-01	NaN	PIK3R3,FGFR1,PIK3R1,VAV3,PIK3R6,RAC1
Dermatan Sulfate Degradation (Metazoa)	3.33E-01	1.18E-01	NaN	HEXB,HEXA
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	3.33E-01	1.18E-01	NaN	PMVK,IDI1
IL-15 Signaling	3.3E-01	9.76E-02	NaN	RAP2B,PIK3R3,RAP2A,FGFR1,PIK3R1,MRAS,PIK3R6,MAPK13
Role of NFAT in Cardiac Hypertrophy	3.22E-01	9.33E-02	-3.153	RAP2B,PRKACB,RAP2A,CAMK1,PIK3R1,FGFR1,HDAC1,GNG2,SOS2,MAPK13,PIK3R3,CALM1 (includes others),RCAN1,HDAC7,PIK3R6,MRAS,PLCB3,MEF2C,PRKCH,CACNA2D4,GNG12
PCP pathway	3.19E-01	9.84E-02	-0.816	JUN,EFNB1,DAAM1,RAC1,FZD1,WNT5A
GNRH Signaling	3.15E-01	9.36E-02	-1.604	PRKACB,RAP2B,RAP2A,EGR1,GNG2,SOS2,RAC1,MMP2,MAP3K4,MAPK13,CALM1 (includes others),JUN,MRAS,PLCB3,PRKCH,CACNA2D4
p70S6K Signaling	3.15E-01	9.42E-02	-3.464	PIK3R3,RAP2B,RAP2A,YWHAH,BAD,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,PLCB3,PRKCH,BCAP31
Thioredoxin Pathway	3.13E-01	1.43E-01	NaN	TXN
Pentose Phosphate Pathway (Non-oxidative Branch)	3.13E-01	1.43E-01	NaN	RPE
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	3.13E-01	1.43E-01	NaN	PDHB
Ceramide Degradation	3.13E-01	1.43E-01	NaN	ASAH1
Aspartate Degradation II	3.13E-01	1.43E-01	NaN	MDH1
Apelin Muscle Signaling Pathway	3.06E-01	1.11E-01	NaN	TFAM,MRAS
Growth Hormone Signaling	3.05E-01	9.52E-02	-1.414	PIK3R3,FGFR1,PIK3R1,PIK3R6,CEBPA,PRKCH,RPS6KA2,A2M
Dendritic Cell Maturation	2.98E-01	9.23E-02	-2.500	HLA-DOA,IL10,TYROBP,FCGR2A,PIK3R1,IL32,FGFR1,MAPK13,FCGR2B,PIK3R3,IL18,CD80,HLA-DMA,TREM2,HLA-DMB,PIK3R6,FCER1G,PLCB3
D-myo-inositol-5-phosphate Metabolism	2.98E-01	9.26E-02	-2.840	DUSP28,NUDT14,PPP4R1,NUDT2,ACP5,PPP1R14B,NUDT5,PIP4P2,DUSP23,PLCB3,DUSP12,PTPN22,PIP4K2C,NUDT1,DUSP16
P2Y Purigenic Receptor Signaling Pathway	2.97E-01	9.29E-02	-2.887	PIK3R3,PRKACB,RAP2B,RAP2A,JUN,FGFR1,PIK3R1,GNG2,PIK3R6,MRAS,PLCB3,PRKCH,GNG12
CREB Signaling in Neurons	2.92E-01	9.17E-02	-2.714	POLR2I,RAP2B,PRKACB,RAP2A,POLR2F,PIK3R1,FGFR1,GNG2,SOS2,POLR2K,POLR2G,PIK3R3,CALM1 (includes others),PIK3R6,MRAS,PLCB3,PRKCH,CACNA2D4,GNAL,GNG12
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.91E-01	9.52E-02	-1.633	IFIH1,JUN,IL10,PPIB,DDX58,ISG15
Wnt/Ca+ pathway	2.91E-01	9.52E-02	-1.633	NFATC2,PLCB3,FZD1,PDE6B,WNT5A,PDE6D
Cardiac β-adrenergic Signaling	2.87E-01	9.22E-02	-1.265	PDE8A,PRKACB,PPP1R10,PKIB,GDE1,GNG2,AKAP9,MRAS,APEX1,PPP1R14B,PDE6B,GNG12,PDE6D
Salvage Pathways of Pyrimidine Ribonucleotides	2.83E-01	9.28E-02	-2.333	NME4,NME1,PRKX,FAM20B,CDK6,NME2,PRKCH,CDK1,NME6
PPARα/RXRα Activation	2.82E-01	9.14E-02	0.832	RAP2B,PRKACB,PPARA,RAP2A,ACOX1,SOS2,CKAP5,CAND1,IL1R2,JUN,MRAS,PLCB3,SLC27A1,MEF2C,MED24,IL1RAP,ITGB5
Leptin Signaling in Obesity	2.81E-01	9.3E-02	-1.633	PIK3R3,PRKACB,FOXO1,FGFR1,PIK3R1,PIK3R6,PLCB3,POMC
DNA damage-induced 14-3-3σ Signaling	2.81E-01	1.05E-01	NaN	HUS1,CDK1
Hypoxia Signaling in the Cardiovascular System	2.8E-01	9.33E-02	-1.000	UBE2D4,JUN,UBE2V1,HIF1AN,MDM2,HIF1A,ARNT
Phototransduction Pathway	2.75E-01	9.43E-02	NaN	PRKACB,OPN3,GNGT2,PDE6B,PDE6D
Histidine Degradation III	2.74E-01	1.25E-01	NaN	MTHFD1
Superoxide Radicals Degradation	2.74E-01	1.25E-01	NaN	SOD1
Salvage Pathways of Pyrimidine Deoxyribonucleotides	2.74E-01	1.25E-01	NaN	TK2
TR/RXR Activation	2.72E-01	9.18E-02	NaN	PIK3R3,SCARB1,SLC2A1,FGFR1,PIK3R1,PIK3R6,MDM2,HIF1A,ME1
Pyridoxal 5'-phosphate Salvage Pathway	2.65E-01	9.23E-02	-1.633	PRKX,FAM20B,PNPO,CDK6,PRKCH,CDK1
Inflammasome pathway	2.58E-01	1E-01	NaN	IL18,CTSB
Serotonin Degradation	2.56E-01	9.09E-02	-1.134	ADH5,EXT2,SULT1A1,ALDH3A2,ALDH9A1,ALDH7A1,MAOA
Dopamine Receptor Signaling	2.56E-01	9.09E-02	NaN	PRKACB,PPP1R10,COMT,PPP1R14B,PCBD1,MAOA,QDPR
4-1BB Signaling in T Lymphocytes	2.49E-01	9.38E-02	NaN	JUN,TNFSF9,MAPK13
Pathogenesis of Multiple Sclerosis	2.4E-01	1.11E-01	NaN	CCL5
Sphingosine and Sphingosine-1-phosphate Metabolism	2.4E-01	1.11E-01	NaN	ASAH1
Phosphatidylethanolamine Biosynthesis II	2.4E-01	1.11E-01	NaN	PIGF
Endoplasmic Reticulum Stress Pathway	2.37E-01	9.52E-02	NaN	DDIT3,ATF6
Polyamine Regulation in Colon Cancer	2.18E-01	9.09E-02	NaN	PPARG,PSME4
Ketolysis	2.13E-01	1E-01	NaN	BDH2
GDP-glucose Biosynthesis	2.13E-01	1E-01	NaN	PGM1
Glycine Betaine Degradation	2.13E-01	1E-01	NaN	SHMT1
Glucose and Glucose-1-phosphate Degradation	1.88E-01	9.09E-02	NaN	PGM1
Purine Nucleotides De Novo Biosynthesis II	1.88E-01	9.09E-02	NaN	ADSSL1
Circadian Rhythm Signaling	-0E00	5.88E-02	NaN	PER3,BHLHE41
Synaptic Long Term Potentiation	-0E00	7.14E-02	-1.000	RAP2B,PRKACB,CALM1 (includes others),RAP2A,PPP1R10,MRAS,PLCB3,PRKCH,PPP1R14B
Synaptic Long Term Depression	-0E00	5.56E-02	-1.897	PLA2G16,RAP2B,RAP2A,PLA2G4C,MRAS,PLCB3,PRKCH,CACNA2D4,GNAL,PLA2G12A
Hepatic Cholestasis	-0E00	8.12E-02	NaN	PPARA,IL1R2,PRKACB,IL18,LY96,JUN,CYP27A1,CD14,NR1H3,PRKCH,MAP3K4,IL1RAP,HSD3B7
Tight Junction Signaling	-0E00	7.19E-02	NaN	PRKACB,TIAM1,JUN,MYL6,RAB13,CEBPA,RAC1,CPSF3,MYL6B,CLDN7,SPTAN1,VTI1B
Role of RIG1-like Receptors in Antiviral Innate Immunity	-0E00	4.55E-02	NaN	IFIH1,DDX58
Role of PKR in Interferon Induction and Antiviral Response	-0E00	2.44E-02	NaN	RNASEL
IL-22 Signaling	-0E00	4.17E-02	NaN	MAPK13
CD40 Signaling	-0E00	8.86E-02	-1.633	PIK3R3,JUN,FGFR1,PIK3R1,PTGS1,PIK3R6,MAPK13
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	3.12E-02	NaN	FCER1G
CD27 Signaling in Lymphocytes	-0E00	7.55E-02	NaN	SIVA1,JUN,CD70,MAP3K4
Lymphotoxin β Receptor Signaling	-0E00	7.46E-02	-1.342	PIK3R3,FGFR1,PIK3R1,PIK3R6,CXCL1
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	8.08E-02	NaN	PIK3R3,CD80,CLTA,FGFR1,PIK3R1,PIK3R6,FCER1G,PTPN22
B Cell Activating Factor Signaling	-0E00	7.32E-02	NaN	JUN,NFATC2,MAPK13
IL-15 Production	-0E00	3.57E-02	NaN	TWF1
IL-9 Signaling	-0E00	8.89E-02	-2.000	PIK3R3,FGFR1,PIK3R1,PIK3R6
Role of Cytokines in Mediating Communication between Immune Cells	-0E00	5.56E-02	NaN	IL18,IL10,IL32
Reelin Signaling in Neurons	-0E00	8.7E-02	NaN	ITGB1,PIK3R3,APOE,ARHGEF12,FGFR1,PIK3R1,ITGA6,PIK3R6
Melatonin Signaling	-0E00	5.56E-02	-1.000	PRKACB,CALM1 (includes others),PLCB3,PRKCH
Cellular Effects of Sildenafil (Viagra)	-0E00	3.82E-02	NaN	PRKACB,CALM1 (includes others),MYL6,PLCB3,MYL6B
Neuropathic Pain Signaling In Dorsal Horn Neurons	-0E00	6.96E-02	-2.121	PIK3R3,PRKACB,CAMK1,FGFR1,PIK3R1,PIK3R6,PLCB3,PRKCH
Factors Promoting Cardiogenesis in Vertebrates	-0E00	4.35E-02	NaN	PRKCH,MEF2C,FZD1,TCF3
Cardiomyocyte Differentiation via BMP Receptors	-0E00	5E-02	NaN	MEF2C
Molecular Mechanisms of Cancer	-0E00	8.63E-02	NaN	PRKACB,RAP2B,RAP2A,BAD,PIK3R1,SOS2,ABL1,FZD1,HIF1A,MAPK13,CCND1,JUN,RHOB,MRAS,ITGB1,ARHGEF12,RHOC,FGFR1,RAC1,CDK6,MDM2,AURKA,TCF3,CDK1,PIK3R3,RABIF,RND3,FOXO1,CDK11A,PIK3R6,PLCB3,PRKCH,GNAL,WNT5A
